"Table 4.10: Disaggregated foods; Total meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Total meat g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,39.2836812402107,44.5721202220535,42.108876829952,38.6241885765842,39.0874768815693,46.8271381653039
Median,38.3567159201217,38.5208152163935,42.2105842559294,38.6162511926122,36.8582000905256,41.2323322733937
SD,24.7109560028581,29.5663942975113,27.8630596098745,23.0073044662001,24.530492730659,27.9394616841144
2.5th percentile,0,0,0,0,0,8.24150232888813
97.5th percentile,93.2822807794769,97.2008894911922,98.2936395841069,89.4512335154481,91.0698510384353,116.705490980415
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,69.7369419889545,72.2928161111761,68.1135110101442,70.3319497298807,66.1128867206682,76.9494361837643
Median,63.734614047883,68.2656332207366,67.3425274381027,66.8274374737083,60.1981615033283,74.4035267576933
SD,37.2248792612578,39.3497939957035,37.2065719087848,39.8508557021912,37.7249751334803,40.5055805684663
2.5th percentile,11.3811121674039,8.59642164092068,1.45484017419442,0.947371194560013,6.84813296126624,13.6415212301827
97.5th percentile,153.289267645635,157.404932880818,156.047322537792,152.542315850801,149.234221036677,181.309198121534
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,67.4510573598266,57.7056455165893,64.1426389512202,59.3104851756394,62.01754045595,63.3133258237356
Median,63.6656171459523,55.2869780692888,60.750369677486,55.2035965497355,57.2130022531098,61.641952430999
SD,37.2618985930527,35.9251349819865,34.2473963609658,34.0085035527386,33.0946202691026,32.9871562330336
2.5th percentile,0,0,4.97288263028855,0,0,10.4021189229314
97.5th percentile,136.693267586955,134.19326695926,146.713119945929,128.601019632016,135.045704738585,133.923753040168
Children 4 to 10 years,,,,,, 
Arithmetic Mean,68.522294311569,65.8273462785536,66.1756626735282,64.9514413531132,64.1147248604351,70.3033684373121
Median,63.771210612235,62.2125878008535,63.4165962126044,60.0877555838372,59.2290773634292,67.8919199158681
SD,37.2334309529581,38.5291171190406,35.8121340903836,37.4860076437725,35.5758558531331,37.6336466950111
2.5th percentile,0,0,5.09524353053607,0,2.5833568431218,11.8669162287294
97.5th percentile,150.57687067832,149.296141573414,149.011171234912,151.313990902911,143.677071742466,159.217706901306
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,117.286270562375,111.324986981415,111.714929109512,107.496420219195,103.558557918906,113.119927155046
Median,106.714124280685,105.863121092233,110.994275140838,103.685320255234,96.7033538908458,111.76589200171
SD,61.748876291868,60.2767480767093,59.8215634881987,68.9653179293511,53.9315648917409,63.6969374898473
2.5th percentile,0,0,0,0,2.48333573223251,11.64578502565
97.5th percentile,268.405811188504,264.596795242764,252.161989093316,279.374360139041,225.535885566976,272.124400178479
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,79.47563678323,79.8503150105702,80.3037410226689,83.2336296469561,79.835007137593,76.1155034055302
Median,75.4547773452806,77.4520606659771,76.933514549151,82.1127257791775,80.7069663888658,76.2961672081061
SD,44.1591128336807,44.0986078418229,44.4691023315366,45.6720912138554,45.8311422383802,34.5629347972414
2.5th percentile,0,0,0,0,0,12.0993734853788
97.5th percentile,168.448331870223,167.850159237885,170.710505992365,179.654225946588,170.519232420751,139.81739865157
Children 11 to 18 years,,,,,, 
Arithmetic Mean,99.0083625845589,95.8825556255404,96.4110832820865,95.7187846665607,92.0004424897805,95.0905445933817
