"Table 4.11: Disaggregated foods; Oily fish (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Oily fish g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,1.11608988395055,1.08939357312555,1.9170372524492,2.21759327626798,1.67533767317709,1.6603854889929
Median,0,0,0,0,0,0
SD,3.89681451929373,3.95004776028829,5.99398513260138,6.91915766557435,4.80647230557566,6.37619024465349
2.5th percentile,0,0,0,0,0,0
97.5th percentile,14.3461313170129,10.9058303099243,21.7676278549351,27.1439131272042,18.8100488327296,21.5
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,1.94714324276967,2.49339417937238,1.90486068152182,2.96536778025313,2.3081762927993,1.6109526388461
Median,0,0,0,0,0,0
SD,6.4693261491165,7.14410712531938,6.4903233699749,9.23004165304628,7.4103314560164,6.97445621600925
2.5th percentile,0,0,0,0,0,0
97.5th percentile,25,24.771351773215,24.1207105733661,37.1851004011877,25,23
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,1.86989663950767,1.73085165992328,1.67516707441188,1.47352258222914,2.24776906019333,1.55080656525192
Median,0,0,0,0,0,0
SD,6.61959651484316,6.71560461076397,6.76543904288047,6.21234245642456,7.14689372470763,7.49599770599788
2.5th percentile,0,0,0,0,0,0
97.5th percentile,21.01284942036,25,22.7948680309709,17.7800624242571,25,22.241
Children 4 to 10 years,,,,,, 
Arithmetic Mean,1.90609681109831,2.15541255204983,1.79276657023737,2.2370720491999,2.27870297834105,1.58163820318696
Median,0,0,0,0,0,0
SD,6.54468612074575,6.96228450743443,6.62026495153,7.93002710939739,7.27802828037145,7.22912469542192
2.5th percentile,0,0,0,0,0,0
97.5th percentile,22.4419091838808,24.992420483136,24.4849572952102,29.4500122963022,25,23
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,1.29003664971031,2.15542002421676,5.24041919181718,1.95658887009384,2.55443887601374,2.59877682213917
Median,0,0,0,0,0,0
SD,5.51791406787513,8.6903877203826,14.8717164974641,7.11162678552815,8.51597444130372,12.8980635092726
2.5th percentile,0,0,0,0,0,0
97.5th percentile,25,25,49.4430229680092,25,30.9560496855102,25
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,2.77746632628895,1.6249056303147,2.90949140055897,2.88038773112558,2.60431821269636,2.38639211148905
Median,0,0,0,0,0,0
SD,11.1784241850663,6.74131173026973,9.98307885532802,8.91207478450295,9.06928736944898,11.158288217961
2.5th percentile,0,0,0,0,0,0
97.5th percentile,30.6791556198857,25,33.765931039302,25,36.1806808328951,25.1334169013095
Children 11 to 18 years,,,,,, 
Arithmetic Mean,2.00906989603936,1.89513352722881,4.1047677973633,2.4050189992159,2.57874009197505,2.49529824280825
Median,0,0,0,0,0,0
SD,8.7510122089507,7.79463248847074,12.7682137498506,8.04200699334312,8.7834935187303,12.0742673208296
2.5th percentile,0,0,0,0,0,0
97.5th percentile,25.2733078249976,25,42.5,25,35.0872354740746,25
Men 19 to 64 years,,,,,, 
Arithmetic Mean,7.36316454578153,7.35820463588472,7.75679454057211,7.90967859850874,7.99624379293234,5.46682825747432
Median,0,0,0,0,0,0
SD,19.1292614427027,18.704322534039,20.233675831437,21.4599797078798,19.9563777683105,18.5099926237218
2.5th percentile,0,0,0,0,0,0
97.5th percentile,72.6641652178629,66.9385521911787,71.6878573632882,53.213851228931,67.5991433181157,56.8288043862139
Women 19 to 64 years,,,,,, 
