"Table 4.14: Sugar confectionery (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Sugar confectionery g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,3.53515151794612,4.56415893739661,3.50458294081306,4.13857354086514,4.02975782549665,1.15176704442962
Median,0,0,0,0,0,0
SD,8.80125198455674,9.40553470217867,8.19222884754165,8.71701652628642,8.5398616148781,4.22726263922035
2.5th percentile,0,0,0,0,0,0
97.5th percentile,30.3372294769501,34.4798132038121,31.0038879042686,33.1787507109157,25.5360478212615,12.5125526641435
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,7.57004814090808,8.32922347932606,8.3203984664504,8.55912714290325,8.96103433877924,3.59215631639202
Median,0,0,0,1.26317559310433,2.59988328672164,0
SD,13.1089138281993,14.5509360904511,14.5732073044497,13.3578686375658,14.6400657373655,12.3432925500355
2.5th percentile,0,0,0,0,0,0
97.5th percentile,47.2488932335727,41.3723373260632,51.3657548612965,47.5338783915073,59.3827862485726,30
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,10.8671809364257,7.70175706730718,7.10542468882908,6.25308821008326,8.63748983784706,3.08677564155003
Median,0.599988666808768,0,0,0,0,0
SD,26.7841524541058,14.5956495134733,14.0502449072467,11.3399836576924,17.2790041069932,8.68329613297865
2.5th percentile,0,0,0,0,0,0
97.5th percentile,49.3642835005664,39.4110844748964,45.1598192128403,35,54.5673818054194,30.2569663146681
Children 4 to 10 years,,,,,, 
Arithmetic Mean,9.32204150098737,8.05111161853181,7.72747205661514,7.43335463471013,8.80317362565214,3.34584016654674
Median,0,0,0,0,1,0
SD,21.5346471873214,14.5624848370438,14.3188110714442,12.4554675792401,15.9718413078412,10.7134382207688
2.5th percentile,0,0,0,0,0,0
97.5th percentile,48.6625380530222,45,50.0116748748705,40.7973914812068,59.4418015937309,30
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,7.93083326670248,7.75450379732683,8.05698049802603,4.69258791494681,4.76752977133328,4.02325727510977
Median,0,0,0,0,0,0
SD,16.3541866174952,17.13070114872,19.3308259000779,10.6442373477842,12.0712037862547,13.2761367952434
2.5th percentile,0,0,0,0,0,0
97.5th percentile,51.5822086560767,61.8666742183497,67.0171273699971,39.9392418215397,41.9848448881504,38.1686395117181
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,6.64114181426618,5.02281168823745,5.9409204552079,6.61262460455856,5.73996584384595,5.98230725178548
Median,0,0,0,0,0,0
SD,16.6568366387796,12.6836699476059,13.184877640041,13.8940643818495,14.6514814224596,22.1071909894441
2.5th percentile,0,0,0,0,0,0
97.5th percentile,40.551061716842,44.1633613122205,44.721491632707,51.4737462815629,46.9794054932823,48.7801023595874
Children 11 to 18 years,,,,,, 
Arithmetic Mean,7.30738797283318,6.41425256544732,7.02601482532216,5.62461147219614,5.24130068687433,4.97775022238525
Median,0,0,0,0,0,0
SD,16.5023901329096,15.1649720680558,16.6410156241091,12.3552314473696,13.3896266598436,18.1386241534265
2.5th percentile,0,0,0,0,0,0
97.5th percentile,51.5078723934289,58.2581008378507,58.9333409258716,46.1286871993068,45.4971110101231,48.2628499435868
Men 19 to 64 years,,,,,, 
Arithmetic Mean,1.50753640563989,1.84031071533683,2.69916607979485,2.07517825489406,2.23114076971369,1.80649284975881
Median,0,0,0,0,0,0
SD,6.17546161271371,8.07722846412381,11.1735554285275,9.19457592665309,8.44225655062072,13.3083563812763
