"Table 4.15: Chocolate confectionery (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Chocolate confectionery g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,5.40478844588287,4.16412658743113,4.81696069300866,4.16942375962837,4.01662767304673,2.95042922458005
Median,2.75,0,0,0,0,0
SD,7.56022785457469,6.64621430317847,9.06832268519394,6.31923567990427,6.35422888996658,7.19794210941344
2.5th percentile,0,0,0,0,0,0
97.5th percentile,24.7321329670726,18.5867966893057,24.0910226087978,20.1661704313795,19.5625079905315,25.5487478465089
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,10.6236984601455,8.07222106985419,7.45391399294451,8.22296690748542,6.83168106662292,5.16761524602664
Median,6.2424076968231,4.88237678686354,3.14423500403521,4.5,2.87505842211884,0.113793390952241
SD,14.7770783867012,10.5804723674302,10.4925648048274,10.447262127869,10.1550943430568,8.85513697888673
2.5th percentile,0,0,0,0,0,0.030385780549182
97.5th percentile,47.2060607329932,34.9748359824714,37.0206724088437,37.2156636236164,35.2478056816967,29.3879077627694
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,7.77906824680671,9.47639573238459,7.55130982009533,7.77464293914431,6.44336201603307,5.5451241045996
Median,3.51,3.54866638061799,4.24542445050755,2.73420781875285,3.5,0.212101389123561
SD,11.6084934358774,16.7108458496536,9.93545179953023,11.3181607728822,9.01844605687527,10.0929476506434
2.5th percentile,0,0,0,0,0,0.0767700900812824
97.5th percentile,38.2866436288184,57.0222536319592,33.3845679218791,38.9586129665952,27.6468930547336,36.1282038055265
Children 4 to 10 years,,,,,, 
Arithmetic Mean,9.11215083536502,8.6945932332023,7.5014446962314,8.00410208645429,6.64221617981342,5.35160828969664
Median,5,4.29816627633627,3.75,3.64311145536381,3.15240625316681,0.167472189574557
SD,13.2546763039623,13.6479466620323,10.2142718857325,10.8726310739476,9.61266782537957,9.47490341934342
2.5th percentile,0,0,0,0,0,0.0347828245983403
97.5th percentile,45.5508916119724,42.6666168240872,33.6978443799122,39.0991942650717,34.172650559401,32.4080752162992
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,13.3480683824606,12.5022427413467,15.0574695429777,11.167641686364,8.13935336137737,10.1111292693868
Median,5,5,8.45483475019502,0,0,0
SD,21.4455205723843,18.3896496916765,21.7471889683355,19.2666546170973,12.7730304623277,17.3890085675424
2.5th percentile,0,0,0,0,0,0
97.5th percentile,61.7801600974005,61.6082847009448,80.6785944952167,63.1697778081192,43.0750568716458,57.1722423488716
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,11.4855721063355,11.2700774582648,9.97470925620922,9.71632133529399,10.1313992133195,9.40941662540692
Median,5.25,5.25,6.80405142213344,4.96522397248361,3.42933564746729,0.896002399407531
SD,15.7899570788631,15.0784313244814,12.5051031801227,15.6048054191999,14.7378570180186,13.8303611918158
2.5th percentile,0,0,0,0,0,0.30116677138735
97.5th percentile,57.7596995667898,47.2312676196908,51.3528076260078,49.1678387825606,49.9317300477483,42.990753060464
Children 11 to 18 years,,,,,, 
Arithmetic Mean,12.4477254857113,11.8977049777259,12.5810977613613,10.4631422548526,9.10987822542909,9.76923918099338
Median,5.25,5,7.02,3.51,0,0.707794687969924
SD,18.9337909485562,16.8468017343173,18.0160317783333,17.5833250034957,13.7913475095854,15.7494918227177
2.5th percentile,0,0,0,0,0,0
