"Table 4.17: Buns, cakes and pastries (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
"Buns, cakes and pastries g/day",Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,8.0801413058015,8.96024428561733,8.99932194175118,11.0513112875802,11.1878100493507,9.10815433275941
Median,0,0,0,6.25,5.77941171508449,1.11272738450437
SD,11.5964260971115,13.4169261311003,13.0159368930804,14.6395128618427,16.8890062688853,12.3830474688991
2.5th percentile,0,0,0,0,0,0.314277244241146
97.5th percentile,39.0082773191684,39.9946454657081,40.0682076185069,52.1049541696392,53.4926679097096,39.2484117254522
Boys 4 to 10 years, , , , , , 
Arithmetic Mean,20.5735541057141,19.9993600821202,20.5913583905767,20.0949331656514,23.7322867249027,16.5851230935463
Median,14.8653813145333,14.9077474415107,13.133549692899,14.2156465671448,15.7582774927004,8.64575081622871
SD,22.7487395593145,22.6166695086363,24.0199277576616,22.6545566959831,25.3330495576789,17.9983810656085
2.5th percentile,0,0,0,0,0,1.28571332156177
97.5th percentile,83.2886052095085,75.083357559696,82.169271287487,74.4008055834311,89.5081912855182,61.1134836474361
Girls 4 to 10 years, , , , , , 
Arithmetic Mean,21.431044049594,20.3993685553956,17.2388355196214,20.644081853991,23.8135687956205,14.0936300860904
Median,15,15,11.2868322683569,13.2546457307266,16.7105752671054,5.864534541
SD,23.9792444755554,24.0660276223241,21.0226355599821,24.5818932461174,24.7287542065912,15.2061690558811
2.5th percentile,0,0,0,0,0,1.57415133020324
97.5th percentile,72.3445942307324,70.5335539435791,73.1896574871817,82.1522765225106,91.0139289508394,52.7925150946077
Children 4 to 10 years, , , , , , 
Arithmetic Mean,21.0291974725978,20.1766557886396,18.9552742327294,20.3630190541611,23.7719450890875,15.3708009092743
Median,15,15,12.5,13.4715487265656,16.25,7.95304252442644
SD,23.3965902493521,23.2522777984535,22.6464423644464,23.5932324714221,25.0227838024218,16.7325431734631
2.5th percentile,0,0,0,0,0,1.42600328719457
97.5th percentile,77.051565327411,74.304057747459,79.3123584969724,82.1254237320146,89.9338627003179,56.90422711
Boys 11 to 18 years, , , , , , 
Arithmetic Mean,15.8460093659676,18.1505660132621,22.3933391919838,18.7408638863942,20.5788727347354,12.6087506153097
Median,0,0,9.60996365746469,0,7.90403461457767,1.73540655859743
SD,22.9394097836918,26.0942280591003,34.7537488335937,30.6654478101732,30.8186643398941,18.1476643958325
2.5th percentile,0,0,0,0,0,0.594973449556447
97.5th percentile,80.8564725428746,93.683797363994,101.449296615479,92.3761304247754,108.880593079177,56.2228792632454
Girls 11 to 18 years, , , , , , 
Arithmetic Mean,15.8773463505835,15.9051279833429,24.7036319657709,18.8589911330717,17.8732731389577,18.4839336446662
Median,4.41909755381156,0.84778085147499,15,6.75,8.75,10.3572684437357
SD,25.1454180114724,22.6486354693845,34.3034072109012,27.4253157196096,24.8148206611893,20.0094569216988
2.5th percentile,0,0,0,0,0,1.53540478042592
97.5th percentile,84.479489512375,69.375,126.896760794269,97.3743838417335,87.8827006666524,67.8915233469498
Children 11 to 18 years, , , , , , 
Arithmetic Mean,15.8611578695464,17.0488858218179,23.5189369989809,18.7982051743249,19.260704441917,15.4712711391552
Median,0,0,12,0,8.75,3.98724749285719
SD,24.0144735916331,24.4741963946043,34.522759487718,29.1107481829534,28.0664914318374,19.2898808339957
2.5th percentile,0,0,0,0,0,0.656669626561074
