"Table 4.1a: Total quantities of food consumed (grams) per day: male (including non-consumers), by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023).,,,,,,,,,,
Males aged 4 years and over,,,,,,,,,,
2019 to 2023,,,,,,,,,,
"Blank cells occur in rows 8, 27, 40, 48, 62, 68, 82, 86, 90, 95 and 100 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,
Food Group,Boys 4 to 10 yearsMean,Boys 4 to 10 yearssd,Boys 11 to 18 yearsMean,Boys 11 to 18 yearssd,Men 19 to 64 yearsMean,Men 19 to 64 yearssd,Men 65 to 74 yearsMean,Men 65 to 74 yearssd,Men 75 years and overMean,Men 75 years and oversd
Cereals and cereal products,,,,,,,,,,
Pizza,25.9617210668341,55.6727505489721,46.7327937564571,105.415818476609,25.3859306269078,60.9732315945787,9.31545707058982,29.6725785234792,1.51079975949101,9.28539258519567
Pasta,14.1070841954569,27.5858746084767,18.6398174658622,44.1476072136638,14.8952091914872,37.7527229928196,5.75103757265427,15.7795776714488,7.83078615765833,25.5710846319964
Pasta-based dishes,11.197119098337,30.6040398047805,29.4079182352627,62.994043789173,18.2400010673507,50.7259200015163,12.0645095035482,34.5345259473414,7.62831267339268,25.5854052232027
Rice,22.1849216464059,43.6978443789899,30.6263317979285,65.8191974899807,27.3286476986059,58.8591873473772,18.3583966236118,38.194687434356,8.60698248795876,23.7673527652495
Rice-based dishes,7.03082864666939,23.053728196667,19.0707066646023,61.8398794697779,23.5730024213572,72.1688031482163,12.7815336207282,48.6428754062452,3.87364151794041,18.4354203320205
"Cereal grains, not rice",0.753912533424782,7.38084412008812,1.03022162437969,7.88909542098092,2.47856501104543,11.2923061752596,2.56949720234111,13.1579112521244,2.3800930520066,9.77869477376556
