"Table 4.2a: Total quantities of food consumed (grams) per day: male consumers, by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023).,,,,,,,,,,,,,,,
Males aged 4 years and over,,,,,,,,,,,,,,,
2019 to 2023,,,,,,,,,,,,,,,
"Blank cells occur in rows 9, 28, 41, 49, 63, 69, 83, 87, 91, 96 and 101 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = unavailable. For more information please see note 12.",,,,,,,,,,,,,,,
Food Group,Boys 4 to 10 yearsMean,Boys 4 to 10 yearsMedian,Boys 4 to 10 yearspercent consumers,Boys 11 to 18 yearsMean,Boys 11 to 18 yearsMedian,Boys 11 to 18 yearspercent consumers,Men 19 to 64 yearsMean,Men 19 to 64 yearsMedian,Men 19 to 64 yearspercent consumers,Men 65 to 74 yearsMean,Men 65 to 74 yearsMedian,Men 65 to 74 yearspercent consumers,Men 75 years and overMean,Men 75 years and overMedian,Men 75 years and overpercent consumers
Cereals and cereal products,,,,,,,,,,,,,,,
Pizza,65.7117671430689,40.5586806489067,39.5084810461873,130.357259350499,75.375,35.8497823514409,108.781659860207,84.2850505978496,23.3365906160383,[x],[x],10.1884757666982,[x],[x],3.58704652520247
Pasta,47.3455954686333,34.5,29.7959800818281,75.2034981389394,47,24.7858383281917,69.7640147394138,52.2689651054037,21.3508486389789,[x],[x],15.374693675107,[x],[x],11.6348653159512
Pasta-based dishes,56.2854655389766,42.2569053071217,19.8934467204207,91.5356642913954,68.9932318222605,32.1272789823705,92.1906795261277,75,19.7850814866608,[x],[x],16.2796559550752,[x],[x],10.9969676872289
