"Table 4.2c: Total quantities of food consumed (grams) per day: all consumers, by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023).,,,,,,,,,,,,,,,,,,
Aged 1.5 years and over,,,,,,,,,,,,,,,,,,
2019 to 2023,,,,,,,,,,,,,,,,,,
"Blank cells occur in rows 9, 28, 41, 49, 63, 69, 83, 87, 91, 96 and 101 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = unavailable. For more information please see note 12.",,,,,,,,,,,,,,,,,,
Food Group,1.5 to 3 yearsMean,1.5 to 3 yearsMedian,1.5 to 3 yearspercent consumers,4 to 10 yearsMean,4 to 10 yearsMedian,4 to 10 yearspercent consumers,11 to 18 yearsMean,11 to 18 yearsMedian,11 to 18 yearspercent consumers,19 to 64 yearsMean,19 to 64 yearsMedian,19 to 64 yearspercent consumers,65 to 74 yearsMean,65 to 74 yearsMedian,65 to 74 yearspercent consumers,75 years and overMean,75 years and overMedian,75 years and overpercent consumers
Cereals and cereal products,,,,,,,,,,,,,,,,,,
Pizza,39.8615356137044,19.68,26.4607980549612,59.9582176309295,37.6357164675918,38.8140998527222,117.942003104234,72,35.9126048557338,89.7562746695935,72.5,22.4446903170465,[x],[x],8.22384224670934,[x],[x],2.18776801507788
Pasta,33.4677744802823,25.25,33.760806658317,47.5278847311345,34.5,29.7756091485223,68.1615611438279,47,27.7645686028932,60.6220054420086,47,23.7472661407964,38.7556277212299,34.5,15.5287713811612,[x],[x],11.3591247531949
