"Table 4.4: Disaggregated foods; Total fruit and vegetables (not including juice) (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Total fruit and vegetables (not including juice) g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,177.719525021646,176.017818992556,169.442255261188,169.624539418784,174.412689135592,227.276682935675
Median,163.593888221176,172.805055878445,160.821038354752,158.961605516376,152.380785909987,222.387262096379
SD,95.986291503393,82.1940411158789,86.9635327237774,97.1092783146568,95.7649503388765,107.387231945544
2.5th percentile,15.5142880453988,23.0181978428781,30.4362742985504,26.2123481782306,25.0030222195859,40.0587994150339
97.5th percentile,385.554943481993,361.808845602273,368.159285428152,402.284708937057,391.079550917872,468.681341473508
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,190.106255462007,203.776424451868,215.098946317191,191.636798085331,201.65263678456,202.368525147422
Median,175.565460763831,196.757713526539,194.556083579969,182.502384324766,183.828618162607,186.575520904487
SD,104.338306986343,102.094132470258,128.142345328374,113.101592888968,113.942552563898,123.887560126072
2.5th percentile,29.0812047579956,44.8697058786718,33.0806559140572,22.5827047006571,35.7237900837624,36.9722376083625
97.5th percentile,444.642469652798,428.394801786029,500.007898636069,420.493595321877,464.432273953081,510.095544294065
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,206.812446943229,209.451056150459,186.033581059013,195.037011511057,202.877075228385,208.20388731615
Median,190.193032256268,194.931690068407,168.127176240729,177.265344476855,180.088749864517,185.607624264173
SD,114.661507630996,117.058152006478,109.109161164461,100.651035066614,120.262526546571,112.584972631163
2.5th percentile,19.8269864973887,31.5579722254617,20.9525096956506,32.3363367585961,26.4074990702469,48.458519866197
97.5th percentile,430.491373280747,477.027155459527,418.163737422161,411.842707878343,462.0695429729,471.636754265817
Children 4 to 10 years,,,,,, 
Arithmetic Mean,198.983403688147,206.291590763291,200.914588603596,193.296729642511,202.250052983462,205.212606874139
Median,182.142586542739,195.757829018429,177.553835035071,177.935319907628,182.945797704473,186.244012889265
SD,110.176483874581,108.927774522294,119.999251622162,107.114214057526,116.989253291332,118.479503685328
2.5th percentile,22.7134319316749,31.90505020921,29.9337130795624,27.4680466814689,28.6800209675897,39.7714542174643
97.5th percentile,432.814511859046,456.404941153627,482.93072218322,418.393616246283,464.876758512667,476.91616559564
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,186.142635386134,163.664451628867,173.792670299747,159.965890138354,186.255063748049,171.020310003987
Median,171.094236757427,145.828682366096,158.641775767903,135.24577551873,144.355370102289,145.490123530655
SD,116.333997882908,103.488591344551,108.899600357507,101.944428645813,134.572644244424,115.900105208341
2.5th percentile,5.44656129369874,19.0849696304303,8.278108546346,20.2206175276498,26.1071800490337,16.280536526112
97.5th percentile,457.319008294692,385.645148718883,392.721715280359,413.748987597655,550.347996436187,456.205790661066
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,169.912097133547,158.647719693571,173.792864346802,176.447706871659,192.004724003457,173.685989087069
Median,147.175196274652,143.422572027566,151.465550090382,153.660814487648,162.453204366228,155.697527501328
SD,112.573630061302,106.615576674458,112.27412556146,115.668250569322,125.45784496941,114.346964790504
2.5th percentile,19.427488698963,11.8838008770116,16.1697908462834,13.9941730342633,29.0683822668734,14.7619003387065
97.5th percentile,441.974244869369,401.772952590708,421.64676020023,468.029576184186,464.188962606923,444.642669424728
Children 11 to 18 years,,,,,, 
