"Table 4.9: Disaggregated foods; White meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023).,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
White meat g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,11.8988150792766,11.9912862064968,14.2699621686802,12.1564260042971,16.8225501480594,18.2044021001725
Median,7.52824790949635,8.55,11.015494130329,9.03759872965818,11.9328042486619,13.7841204305999
SD,13.57279349501,12.2019148508535,14.2494539987537,13.4488470988193,17.7872832631888,16.8643382903487
2.5th percentile,0,0,0,0,0,0
97.5th percentile,45.1817715424672,39.0358733810283,47.128789826547,46.5462602877752,52.3141337567703,57.2373462618037
Boys 4 to 10 years, , , , , , 
Arithmetic Mean,23.930769989171,22.5654760821443,22.5457047138309,27.8200062308365,27.7639423648487,32.3745215959541
Median,19.7968971915227,16.9510711338168,18.3872661976188,23.4935311641583,22.3589314054229,28.04209525
SD,21.7284792377851,20.1540739777166,21.4992267166813,26.1218674721102,25.0540199090851,24.3883727746324
2.5th percentile,0,0,0,0,0,0
97.5th percentile,70.5615214003844,65.8170989409013,71.8745818724992,87.7797285354225,89.2169203295146,93.2902932931846
Girls 4 to 10 years, , , , , , 
Arithmetic Mean,21.5330185775342,22.2904210307652,25.626272077171,25.336552593346,23.046959386528,25.135457287843
Median,17.2329824961471,16.3615291203028,20.046077483331,19.758165000205,19.7044369326704,21.8399213551004
SD,20.869875564559,22.221449078457,21.6984811677852,25.8337475263922,19.7389573353468,19.2169942436153
2.5th percentile,0,0,0,0,0,0
97.5th percentile,69.5408694416811,84.6338009844945,74.639955961061,79.3996174664259,70.48000502672,65.353533060479
Children 4 to 10 years, , , , , , 
Arithmetic Mean,22.6566797984395,22.4435634654773,24.049070284878,26.6076226103049,25.4624775134273,28.846293197799
Median,18.0000076127016,16.814914103991,18.6018898254391,22.1185154700178,20.5352996560589,24.2125951882004
SD,21.2938845097384,21.0787112026111,21.6297662990048,25.9858536064722,22.724707854682,22.3030038472363
2.5th percentile,0,0,0,0,0,0
97.5th percentile,70.6384421002973,70.6857466025607,74.04173666779,86.3417170181796,80.2722728571584,82.1575331329803
Boys 11 to 18 years, , , , , , 
Arithmetic Mean,38.9226410119851,41.5532366017502,42.4976667120077,45.2347432576671,43.5613360799588,49.6003632157058
Median,31.1667203634098,33.8935204871723,34.0503222209557,36.1567708879477,32.5,43.2385411864806
SD,33.4059603922206,35.5793127974242,38.3993297632061,40.8412436145884,38.5501102179327,38.5020590767827
2.5th percentile,0,0,0,0,0,0
97.5th percentile,118.757277468663,124.185533174496,147.015282597206,134.92009846406,130.403713983535,126.684277853528
Girls 11 to 18 years, , , , , , 
Arithmetic Mean,31.8281371546647,36.6235705734797,31.633676913178,39.6249088629959,33.7691385057165,37.335013108363
Median,25.417362398432,32.0495588806132,26.1859237113449,32.4314673926728,32.2587341732296,34.1386638149523
SD,29.6199216573229,30.6074718103713,29.7232914690843,33.1059920228227,27.0932610012346,23.216940857423
2.5th percentile,0,0,0,0,0,0
97.5th percentile,100.734592812509,112.292289710588,104.299377513537,121.819689942665,91.2630516981471,87.1504538916787
Children 11 to 18 years, , , , , , 
Arithmetic Mean,35.4931113878036,39.1345925147537,37.2046219379653,42.511619352593,38.790576807403,43.6244104259822
Median,29.8051069595607,32.882112625159,30.8152649476462,33.3278610713223,32.4813162058811,37.0359965592651
SD,31.809097315808,33.3027020387213,34.8409874747566,37.35837024293,33.7940452942399,32.5436775004704
