"Table 4.12: Disaggregated foods; Total fish (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Total fish g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,8.52071950101639,8.52138126139791,9.62162189322989,8.76391780714248,7.69631698778328,8.89221761352329
Median,7.07507709231517,6.40124323195026,8.372,4.93757068826668,4.56406624808779,5.65772163632132
SD,10.6453434873926,10.8607197141727,10.4812368380028,11.3357695044134,9.38404382986391,8.48121119276339
2.5th percentile,0,0,0,0,0,0
97.5th percentile,31.0003389884471,38.8364814642082,37.9758604534824,41.9943395698121,27.7241033702435,30.9977596246972
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,12.7697985938159,11.4425247571326,11.1163750017189,12.7913887615278,11.3000326596133,10.5227014296626
Median,11.3626014200852,6.7,4.51614829998638,8.26379667051887,8.372,4.40298122514572
SD,13.9652045743326,14.4605322978712,15.0160406085226,14.8739827405084,12.4693974440424,10.7558318795226
2.5th percentile,0,0,0,0,0,0
97.5th percentile,43.6816082686096,48.045336683687,47.2852479233753,46.7640066069916,42.1509488061809,37.2150585991881
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,10.2394592105832,8.91553044899441,10.3836413674442,11.7942072989888,11.2026625269398,10.847666597553
Median,5.23966042570967,2.77398185566313,7.36414145462709,8.372,7.54752026323989,4.33158498297394
SD,13.1260379811343,12.6000268981034,13.2886399049296,14.1627938209396,15.3465919123653,11.7924371764023
2.5th percentile,0,0,0,0,0,0
97.5th percentile,46.2443419758703,37.3167478023234,50.3291863281484,49.5144437966454,50.5461888806943,38.9138729545763
Children 4 to 10 years,,,,,, 
Arithmetic Mean,11.4252552972397,10.3224853800282,10.7587894050813,12.3045802084591,11.2525247633677,10.6810853429644
Median,8.652,4.58288068792776,6.30733165380285,8.372,8.3025,4.37993171564726
SD,13.5743160800895,13.7142340936278,14.1898028995491,14.5255391441325,13.937900561645,11.2674642811477
2.5th percentile,0,0,0,0,0,0
97.5th percentile,44.7912648241858,46.6547409880805,47.5893490873427,49.1459759002769,47.7049280085371,38.5183571603297
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,10.1175671012307,12.6090269891024,15.1107604526494,14.4317808752209,12.6799392166647,9.71839973708879
Median,0,0,0.318634527355348,2.98928148998062,0.844005540596714,0.885563737403156
SD,16.2255517328908,19.6028209687264,35.1491382227872,20.3061701044317,19.3875043055148,15.2556198398816
2.5th percentile,0,0,0,0,0,0
97.5th percentile,56.245233106801,72.1902096656957,93.5917784967779,65.7067501062535,57.2957543485278,51.352016909126
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,10.5301139137579,10.3767211804355,12.0845023977392,11.0506854794983,11.5954824706925,10.3432764491323
Median,0,0,1.64822701721765,0.440481171221864,0,3.82276803676607
SD,18.607373501163,16.6309046558413,16.8210010914711,16.3188520470433,17.1389247692464,12.946833358787
2.5th percentile,0,0,0,0,0,0
97.5th percentile,55.1078964124604,57.6364818305142,57.5883513623668,55.5719530746299,56.1809429567636,44.6319880299402
Children 11 to 18 years,,,,,, 
Arithmetic Mean,10.3169949320351,11.5137898648652,13.6363371809697,12.7905306974663,12.1515918219857,10.0228536416156
Median,0,0,0.544845009167746,1.62844633290323,0.217761962656383,2.79095511726658
SD,17.406802582948,18.2277321867377,27.7889838067235,18.5386215406296,18.3210267459775,14.1719099553788
2.5th percentile,0,0,0,0,0,0
