"Table 4.13: Sugar-sweetened soft drinks (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Sugar-sweetened soft drinks g/day [note 4],Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,55.9136441358574,72.9991671734416,63.1788227070305,37.3407044365866,19.4805018402459,33.4981387991172
Median,0,0,0,0,0,0
SD,105.846452621623,139.696591500562,142.706325441479,93.2599738933016,61.6873357655624,97.5006418231633
2.5th percentile,0,0,0,0,0,0
97.5th percentile,358.985217504816,464.902410307864,375.051247531475,308.271699536551,218.812115832048,279.704632548578
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,137.837285467659,140.418375357032,104.314795592372,97.682192234285,56.5928367062639,50.2923440031179
Median,75,75,8.34943375170733,0,0,0
SD,168.898245231838,196.141036834257,179.388048056808,237.306566401132,112.794467472873,105.14115329876
2.5th percentile,0,0,0,0,0,0
97.5th percentile,588.394452130027,713.175167930216,599.693287779387,536.478809567179,376.064781667789,352.8953834469
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,123.59761337354,100.409019815271,94.6340553875917,68.0459067486361,47.5213062313529,58.7335893285898
Median,62.5,50,37.5,11.2700471284745,0,3.14743060199304
SD,156.883356954116,130.332150408111,150.034163551176,107.250735755746,109.875996696517,128.805576750582
2.5th percentile,0,0,0,0,0,0
97.5th percentile,532.431923139517,449.128096621693,453.646728665489,361.951094689113,400,413.236877003665
Children 4 to 10 years,,,,,, 
Arithmetic Mean,130.270768585987,122.685033609873,99.5904413385287,83.2142164469435,52.1667430288941,54.4065002262853
Median,73.2387384489624,62.5,24.9028487854521,0,0,0
SD,162.654793645821,171.176424242336,165.61903337227,186.00208238018,111.395674773326,117.279297811692
2.5th percentile,0,0,0,0,0,0
97.5th percentile,550,584.990304196118,503.453039365101,490.159150682486,400,370.602140195482
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,310.699726410909,307.002193829038,229.477724860715,198.065711332424,152.850951247212,144.987235952226
Median,232.658222499202,237.670676002574,164.899957223044,130,82.5,41.4727980989566
SD,322.609842675275,308.7820383433,237.787024584577,223.361355422852,194.320277805765,198.667567867728
2.5th percentile,0,0,0,0,0,0
97.5th percentile,1209.7981963484,1078.32301418005,747.294503659823,747.068639245903,667.230391849243,686.019411828345
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,236.313613550589,178.971198273474,192.756219606594,182.601901166621,130.11260398127,102.681164460855
Median,174.766197320856,125,125,102.339152378796,50,64.9229778549809
SD,263.905064217135,200.054117305383,238.738691982988,226.143662762161,203.251583146775,126.823305010817
2.5th percentile,0,0,0,0,0,0
97.5th percentile,954.376397771677,760.558204526909,761.42045210624,897.897420864343,788.730765773762,414.8825963
Children 11 to 18 years,,,,,, 
Arithmetic Mean,274.740992324883,244.186293408456,211.58663925751,190.559273857901,141.772827032589,124.374772081362
Median,193.830560615879,169.625895190463,142.050209697561,125,62.5,58.4696683527927
SD,297.819679492031,268.726072874642,238.740775933784,224.641664831729,198.901498753957,168.780338703416
2.5th percentile,0,0,0,0,0,0
97.5th percentile,987.439540807932,899.902122093291,756.126605745569,845.828794796653,687.599797646874,606.010282649824
Men 19 to 64 years,,,,,, 
Arithmetic Mean,161.483174161635,156.641305602974,168.753349848368,158.854959593434,118.738987389188,107.665296662898
Median,62.5,62.5,45.3099697013079,0,0,0.386480645768038
