"Table 4.18: Crisps and other savoury snacks (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Crisps and other savoury snacks g/day [note 4],Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,5.4090535009441,5.15472342286513,5.89883331933931,5.93412532725561,6.2835799835979,7.17623430587215
Median,3.12328945102838,3.03736233857874,3.5501560394666,4,4.3900687358285,5.692170633
SD,6.50170676886489,6.9067397716891,7.16193444644467,6.39148586465016,7.05650493413546,7.05377765220215
2.5th percentile,0,0,0,0,0,0.443353860079015
97.5th percentile,21.3461392636109,23.896643116237,25.4097209129555,18.75,22.6906311149461,22.4074317906167
Boys 4 to 10 years, , , , , , 
Arithmetic Mean,10.0609544876984,11.1793599591395,8.86065517987273,10.5082151968867,10.5713861491063,13.5677499730124
Median,8.20950768327846,8.51435866349492,6.3595608107473,6.5,7.75,11.31777487
SD,9.45132905826121,10.6267350280716,9.17825410886438,13.1238403669833,10.3990892724909,12.2470499819521
2.5th percentile,0,0,0,0,0,1.04658995730363
97.5th percentile,31.25,38.5503927211273,30.3659759174777,37.5,36.5629179696808,42.6966588803936
Girls 4 to 10 years, , , , , , 
Arithmetic Mean,10.2819866046292,9.30412069147729,10.71309417967,9.46464906893871,9.74681733641452,11.4654403660888
Median,7.5,6.25,7.5,6.25,7.5,7.68315152379753
SD,10.3215835890932,9.69541579902381,10.6133462368002,11.1682788424552,9.1794627962773,9.9494607642839
2.5th percentile,0,0,0,0,0,1.1552696080582
97.5th percentile,34.2258635025744,31.25,34.5894124980873,34.0807425817708,30.3263007705529,35.7793839047592
Children 4 to 10 years, , , , , , 
Arithmetic Mean,10.1784040492549,10.3481978886695,9.76467469520662,9.99876236822661,10.1690704848967,12.5431108565245
Median,7.75,7.5,7,6.25,7.75,9.503279058
SD,9.91626313654794,10.2588564207246,9.93776308018047,12.2078220502883,9.82487506505799,11.2290820548791
2.5th percentile,0,0,0,0,0,1.11853772332173
97.5th percentile,34.1601778352981,37.3849152732455,31.4936182707263,37.5,32.3616328977646,39.7123362781956
Boys 11 to 18 years, , , , , , 
Arithmetic Mean,14.0223171589896,14.7940212591589,12.9145804647626,10.3848918677679,10.4295289479719,13.7285544579327
Median,10.5,11.3511972977869,8.69752417044939,6.25,6.25,7.854430055
SD,15.4883891599298,20.2211735124682,14.6299724926309,13.2894701211217,13.5781885637189,17.3734048793094
2.5th percentile,0,0,0,0,0,0.854678505567507
97.5th percentile,53.9033755258298,61.8666613115087,50.0109007350212,46.1154168918703,38.1798616605163,53.6820061884809
Girls 11 to 18 years, , , , , , 
Arithmetic Mean,13.389140605611,10.661207990461,12.875020026488,10.9594930181495,12.6925928201646,12.3630235289856
Median,10,6.25,9.5,8.125,9.64905824353813,7.402216968
SD,14.2782348627908,12.445078237374,15.3452652548528,13.8023845113362,14.1911011270433,12.878789667275
2.5th percentile,0,0,0,0,0,0.735877711852954
97.5th percentile,51.7342772036504,44.9751197906333,45.9465037620359,38.5589903771523,44.4646094065051,45.0302105529115
Children 11 to 18 years, , , , , , 
Arithmetic Mean,13.7162354666231,12.7663373719192,12.8953062225233,10.6638145628787,11.532093808494,13.063237260064
Median,10.4399824146944,8.2,9.18815256604866,7.49895722968674,7.49429164288143,7.854430055
SD,14.9087463386067,16.9753916095417,14.9690483203167,13.5314089729252,13.9161191008356,15.3540373181418
2.5th percentile,0,0,0,0,0,0.804256160641068
