"Table 4.1b: Total quantities of food consumed (grams) per day: female (including non-consumers), by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023)).,,,,,,,,,,
Females aged 4 years and over,,,,,,,,,,
2019 to 2023,,,,,,,,,,
"Blank cells occur in rows 8, 27, 40, 48, 62, 68, 82, 86, 90, 95 and 100 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,
Food Group[note 1][note 2][note 3][note 10],Girls 4 to 10 yearsMean,Girls 4 to 10 yearssd,Girls 11 to 18 yearsMean,Girls 11 to 18 yearssd,Women 19 to 64 yearsMean,Women 19 to 64 yearssd,Women 65 to 74 yearsMean,Women 65 to 74 yearssd,Women 75 years and overMean,Women 75 years and oversd
Cereals and cereal products,,,,,,,,,,
     Pizza,20.4435668022219,46.9375308579014,37.7497326160306,83.1437780917606,15.1369985176245,39.0936324826009,4.92778399057704,30.8063865432556,0.701717773120454,6.56992929418677
     Pasta,14.1986602248415,43.8879124649931,19.2246550345289,39.8121362710043,13.9190161935285,30.1643496422206,6.26423344246638,17.5481949118378,3.8965324333932,12.1054040175446
     Pasta-based dishes,19.5645725975362,40.5613634658923,23.1198949518694,45.0626596037613,14.4701736469072,35.6064619834448,8.56011271717662,31.7085554052724,5.69108490693733,22.3257897903958
     Rice,22.4085465922012,50.2566533874189,25.8609961626546,57.286341320757,25.5695937912285,54.9151460567689,9.37531056388834,24.8983001676184,12.8651460967409,45.9096264593273
     Rice-based dishes,8.44134769769472,25.1414082122707,8.33164916852211,29.1324577314169,11.7636344078595,34.4737635744529,8.84701635646856,28.506507410314,6.83210107688099,26.593178531326
"     Cereal grains, not rice",0.437087624561105,3.53265539101371,1.01405509075383,6.50031435869332,1.92437383689915,8.95369931003383,2.30749170190744,7.76299691725118,1.7969612477943,7.12249002233976
