"Table 4.1c: Total quantities of food consumed (grams) per day: all (including non-consumers), by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023).,,,,,,,,,,,,
Aged 1.5 years and over,,,,,,,,,,,,
2019 to 2023,,,,,,,,,,,,
"Blank cells occur in rows 8, 27, 40, 48, 62, 68, 82, 86, 90, 95 and 100 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,,,
Food Group[note 1][note 2][note 10],1.5 to 3 yearsMean,1.5 to 3 yearssd,4 to 10 yearsMean,4 to 10 yearssd,11 to 18 yearsMean,11 to 18 yearssd,19 to 64 yearsMean,19 to 64 yearssd,65 to 74 yearsMean,65 to 74 yearssd,75 years and overMean,75 years and oversd
Cereals and cereal products,,,,,,,,,,,,
     Pizza,10.5476804403488,28.5226372426719,23.2722424611814,51.6437325740211,42.3560455337609,95.2611880311243,20.1455178897079,51.2117752396272,7.03067459897113,30.3051522582778,1.04882070231777,7.84349556211552
     Pasta,11.2989906351297,21.7504250227859,14.1517171941028,36.4319327190826,18.9247634045811,42.0643618165762,14.3960689722018,34.0761330168818,6.01827282616372,16.7024918893736,5.58436013800415,19.1379354565675
     Pasta-based dishes,15.4136556624298,37.9785370444669,15.2753101185135,36.0273052023452,26.3442527097092,55.0469631885177,16.3124391106036,43.6795716491452,10.2396733762688,33.0920328674687,6.52217179749513,23.7475170941207
     Rice,12.6603736625375,43.1155477740164,22.2939136170117,46.9812230256328,28.3045537373992,61.8144460110434,26.4292204799114,56.864510777134,13.6806557810241,32.2354015777667,11.0383583465403,38.0127026277999
