"Table 4.2b: Total quantities of food consumed (grams) per day: female consumers [note 1], by age (Years 12 to 15 combined)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,,,,,,,,,,
National Diet and Nutrition Survey. Results from Years 12 to 15 (2019 to 2023).,,,,,,,,,,,,,,,
Females aged 4 years and over,,,,,,,,,,,,,,,
2019 to 2023,,,,,,,,,,,,,,,
"Blank cells occur in rows 9, 28, 41, 49, 63, 69, 83, 87, 91, 96 and 101 where quantities of food consumed are not presented for combined food groups.",,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = unavailable. For more information please see note 12. ",,,,,,,,,,,,,,,
Food Group[note 2][note 3][note 4][note 11],Girls 4 to 10 yearsMean,Girls 4 to 10 yearsMedian,Girls 4 to 10 yearspercent consumers,Girls 11 to 18 yearsMean,Girls 11 to 18 yearsMedian,Girls 11 to 18 yearspercent consumers,Women 19 to 64 yearsMean,Women 19 to 64 yearsMedian,Women 19 to 64 yearspercent consumers,Women 65 to 74 yearsMean,Women 65 to 74 yearsMedian,Women 65 to 74 yearspercent consumers,Women 75 years and overMean,Women 75 years and overMedian,Women 75 years and overpercent consumers
Cereals and cereal products,,,,,,,,,,,,,,,
     Pizza,53.6805083806358,36,38.0837801632976,104.922381989911,63.8836509136623,35.9787224613908,70.1038255748451,55.675,21.5922574745421,[x],[x],6.41561348557308,[x],[x],1.13643535814106
     Pasta,47.7198779013462,34.5,29.7541838941732,62.2166459929795,47,30.8995361734836,53.4572883010525,46.0020502328975,26.0376398352672,[x],[x],15.6705829387379,[x],[x],11.1519500868434
     Pasta-based dishes,58.803169485235,45,33.2712892328852,69.6190693047168,60.8,33.209141091323,64.4813689968979,47.2722562077225,22.4408598514763,[x],[x],11.4174465147535,[x],[x],9.89424329626031
