"Table 4.5: Disaggregated foods; Total fruit (not including juice) (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Total fruit (not including juice) g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,104.179582705973,105.211889619484,102.887404313259,105.112150552527,106.841067527572,147.123901323034
Median,88.6374649787745,103.693501826172,93.4545564897358,94.2824636906625,93.2347108094321,139.298373642656
SD,71.286405222289,65.784286902697,68.2756823383298,75.2571540020463,72.5619585486761,82.5132430391046
2.5th percentile,0,1.47263718141499,0,0.251794596098362,0.983758773066254,13.3024437786148
97.5th percentile,256.149303012662,246.983240756352,281.374416700601,292.52300587869,273.890564653598,315.894693724
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,92.6053734703113,108.684384658647,113.285304632001,109.131901032019,102.397382561724,109.942671120437
Median,73.1334828367813,93.4651547560053,101.179823733368,93.3824013442706,88.3342618627298,93.7980798784349
SD,76.0135838771013,81.7411891619593,90.7961470432538,88.1910448927621,82.360437154384,89.4068901230011
2.5th percentile,0,0,0.00227461201230061,0,0,7.53679732336397
97.5th percentile,289.703244457301,297.428794781306,338.993233409544,313.567079944922,313.4174790159,333.301870560549
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,108.288829246921,112.486098727107,96.5283136194357,103.448410069758,107.188129391712,119.963370477881
Median,95.1944948570576,93.8879849665658,81.7787700363313,84.3241629857352,87.5,113.680474182476
SD,85.4654232984224,91.0187507392807,75.4477109514144,79.4590802427621,90.4799535544807,78.6197511396296
2.5th percentile,0,0,0,0,0.301077122475952,10.9961465378654
97.5th percentile,290.525983263603,315.704209286768,260.698065667308,297.508940161726,319.572170993248,305.60836329096
Children 4 to 10 years,,,,,, 
Arithmetic Mean,100.939071894916,110.369417918651,105.107628122657,106.357308727954,104.734837560385,114.826633264922
Median,86.5766997077562,94.0726115665416,91.8910791232356,90.4147846533879,87.6024112500116,103.598614386556
SD,81.4881795140688,85.9276882445761,83.9943923923584,84.0084968127405,86.3906305346272,84.4210582146033
2.5th percentile,0,0,0,0,0,8.71362663203182
97.5th percentile,291.665321257347,310.094708494374,309.031633728294,299.512606391019,316.630045576011,320.750737309577
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,62.4653323871452,50.4560630844956,59.6792923174559,49.6582105664963,69.8670714193715,66.151178030485
Median,33.9676699942346,26.2445434283458,42.8129901808422,25.010472457024,44.274366962571,31.7336382411049
SD,79.1909637417341,61.3262567572953,71.0631628614783,66.4088438630548,89.9851531067327,72.9992411969032
2.5th percentile,0,0,0,0,0,2.15772605938679
97.5th percentile,268.279804922622,213.28921566139,238.640406600951,269.317521608055,318.482067958115,254.020218935394
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,66.9498283920139,52.64825470895,60.304208641109,67.0212629522818,69.8133953752469,69.5837526115878
Median,47.5,27.8195361133821,40.8671501842681,44.2369812465098,40.3956947685232,46.5725521511502
SD,75.1147837667563,63.8074663131497,68.8444460930717,85.0676496782386,77.8633251833493,65.4674788327421
2.5th percentile,0,0,0,0,0,5.01475828750576
97.5th percentile,292.349697256367,208.325224619767,246.652639170175,263.788006005241,297.03847884975,221.022041195272
Children 11 to 18 years,,,,,, 
Arithmetic Mean,64.6331671233758,51.5316189699539,59.9837578169984,58.0865775538889,69.8409204473062,67.8236051087463
Median,42.5577377518528,27.7982516830322,41.7313789889477,30,43.3179474685237,41.4118619265519
