"Table 4.7: Disaggregated foods; Fruit juice (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Fruit juice g/day [note 4],Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,57.1625374661609,52.3359337512265,59.4273584365176,48.7821131077352,35.3989488823035,39.1058494211915
Median,12.5,0,3.97716296152342,0,0,4.99939669615718
SD,79.9697466586467,77.7572567962331,101.62799946581,86.4880721390503,77.3437917909577,69.9094889566139
2.5th percentile,0,0,0,0,0,0
97.5th percentile,268.260492336985,275,381.943494366299,335.549941416353,259.514718071055,221.578850348024
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,101.617315361337,107.310452450551,83.5451287641559,63.6174462562809,55.0538866213244,64.1748074748405
Median,50,62.5,37.5,4.96302782158187,0,12.2121295720758
SD,133.08210055008,138.972553437946,107.391965277802,90.696035913019,83.8760375497374,98.7326202504918
2.5th percentile,0,0,0,0,0,0
97.5th percentile,428.749538207877,460.611301249635,377.720328125069,293.005952023048,276.748663761913,309.861419091638
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,77.0991712619837,77.5167298396564,58.4995636067004,59.9437985096298,51.524528953063,65.6958926889036
Median,37.5,50,0,16.7863413829668,1.68774840626987,7.93048558122408
SD,98.2593168226839,96.8786834125304,90.3416500006478,89.77196732835,85.5997141372664,95.3539557644757
2.5th percentile,0,0,0,0,0,0
97.5th percentile,308.550809973306,300,275.200486392477,272.584246603701,295.54846601612,290.854492967336
Children 4 to 10 years,,,,,, 
Arithmetic Mean,88.5891395712737,94.104984433762,71.3224970450331,61.8240282965467,53.3318764595472,64.9161651724449
Median,50,51.2723223618176,25,7.09838445656499,0.234456783002592,10.3762588475715
SD,116.44447765047,122.923457242053,100.125010973035,90.1763107932521,84.6812239432065,97.0461527470868
2.5th percentile,0,0,0,0,0,0
97.5th percentile,375.815739790685,413.054563590388,342.375049272065,289.933210696723,289.801268285863,298.272465570821
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,98.3742129092871,82.2953671451172,101.036879278199,77.0502016520551,60.9271623285666,70.4601876317783
Median,35.1438826046088,0,0.92359827227703,12.6647910775969,0,13.2735792460204
SD,158.016005431626,129.748049510968,181.271456389732,109.265123416429,113.938712774212,106.982801345925
2.5th percentile,0,0,0,0,0,0
97.5th percentile,543.213148380472,457.156457506517,499.753501484631,331.146637450367,403.534342057513,349.465608857037
Girls 11 to 18 years,,,,,, 
Arithmetic Mean,75.5948695789713,68.5051270774519,79.0023373942653,51.096562085036,64.9976588446631,66.2284065072599
Median,0.194725453939773,0,37.5,0,3.2886497506138,12.7659229372371
SD,120.468254931819,99.0331604842677,121.55340224592,85.5592278455137,91.3720867491512,98.6233085817323
2.5th percentile,0,0,0,0,0,0
97.5th percentile,451.864496024727,295.096737375598,342.961416186302,300,302.992800329867,376.368017175602
Children 11 to 18 years,,,,,, 
Arithmetic Mean,87.3625291692425,75.5294559444154,90.3014295098755,64.4517947550955,62.9103084866011,68.3983692576394
Median,8.3246723827843,0,34.2480174033287,1.09324461426272,0.00103012602217441,13.0756411546224
SD,141.480834889597,115.83112620349,155.323286516443,99.2349188467662,103.503928271068,102.948432538986
2.5th percentile,0,0,0,0,0,0
97.5th percentile,508.093817448668,405.45540971433,488.86435767688,316.283652026008,339.143389327606,373.975901562272
Men 19 to 64 years,,,,,, 
