"Table 4.8: Disaggregated foods; Red and processed meat (g/day) consumption (including non-consumers) by NDNS survey years, age and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
This worksheet contains one table. Some cells refer to notes which can be found at the bottom of this table.,,,,,,
National Diet and Nutrition Survey. UK Results from Years 12 to 15 (2019 to 2023). ,,,,,,
Aged 1.5 years and over,,,,,,
2008 to 2023,,,,,,
"Blank cells occur in rows 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92 and 98 as these rows define the age/sex group.",,,,,,
Red and processed meat g/day,Years 1 to 2(2008 to 2010),Years 3 to 4(2010 to 2012),Years 5 to 6(2012 to 2014),Years 7 to 8(2014 to 2016),Years 9 to 11(2016 to 2019)[note 1],Years 12 to 15(2019 to 2023)[note 2][ note 3]
Children 1.5 to 3 years,,,,,,
Arithmetic Mean,27.3848661600818,32.5808340152664,27.8389146608038,26.4677625722871,22.2649267335415,26.9163363256559
Median,21.7959555986881,27.5444058255226,22.8473512517232,24.5212203254205,19.6088165510667,24.9303029820242
SD,21.7821486463446,26.3927518590209,23.907838873142,19.1381379958119,18.1583205594318,17.45778394942
2.5th percentile,0,0,0,0,0,3.83442000652093
97.5th percentile,81.2908036051406,89.3491568429665,83.9766810580095,70.8661441313651,63.6713834792461,65.5213199669031
Boys 4 to 10 years,,,,,, 
Arithmetic Mean,45.806171999837,49.7273400274492,45.5678062962452,42.5119434991604,38.348944270394,42.3285896950822
Median,37.5557344833043,43.8015888790599,40.0852560780089,37.3898087047701,32.8826752773779,39.4919871217548
SD,33.0694001627379,37.4456637139685,32.0207024978343,31.8651255672874,29.8491979491562,26.4982360588081
2.5th percentile,0,0,0,0,0,6.31875999129627
97.5th percentile,123.633889722785,141.321709660497,116.574726387204,107.58770792233,109.774646675622,97.6971795320173
Girls 4 to 10 years,,,,,, 
Arithmetic Mean,45.9180387827227,35.4152244866488,38.5163668721669,33.973932582063,38.9705808184795,36.7349983716336
Median,41.8487219567806,32.5272275665277,33.1275481509395,34.0989493820297,37.5118507246436,35.6665810174385
SD,31.8375241459955,28.6621600097676,29.2286006498489,24.622566189368,27.0620233231272,22.5883324755848
2.5th percentile,0,0,0,0,0,6.13792895276621
97.5th percentile,115.759581122265,103.561839269089,109.391122345651,88.8465586465239,100.801143843166,79.6683378813333
Children 4 to 10 years,,,,,, 
Arithmetic Mean,45.865614513373,43.383782812564,42.1265923875802,38.3438187427552,38.6522471808249,39.6023440209068
Median,40.7165350976632,38.0024226534669,36.9100746539212,35.3394671428671,33.935177151777,37.8231780502631
SD,32.3957553025913,34.550047544095,30.861327194191,28.8508145976235,28.5054401101294,24.8137814885545
2.5th percentile,0,0,0,0,0,6.23846105586533
97.5th percentile,119.559249134823,121.643059146766,114.14476996647,102.198351897227,103.487377498698,90.0781499444396
Boys 11 to 18 years,,,,,, 
Arithmetic Mean,78.3636295522761,69.771750376793,69.2172623955612,62.2616769613504,59.9972214689035,63.5232489271133
Median,68.0725509176991,61.4014312551484,63.674004836164,60.5613701765764,56.7306852235575,60.288415506531
SD,53.0096386846664,51.2322896528736,46.9205908514955,54.5009260676925,43.5164297900822,42.6516175844126
2.5th percentile,0,0,0,0,0,6.81901615654057
97.5th percentile,211.694629611924,202.967301993093,185.961499605298,217.046933261075,162.165755347584,161.165962698839
% consuming more than 90g/day,34.4197245774038,29.6040694625934,28.2112520329411,23.9702416314394,20.7076151954615,22.2294040375868
Girls 11 to 18 years, , , , , , 
Arithmetic Mean,47.6474996290682,43.2267444416683,48.6700641055548,43.6087207830571,46.0658686420603,38.8412317034364
Median,40.7592010488664,38.9214759508351,47.0797204854915,38.2544303811211,40.8872776917879,35.5756134569498
SD,35.4131700130319,34.4005747578251,34.3505155148663,35.0608926822389,36.2853415781298,24.464385040522
2.5th percentile,0,0,0,0,0,5.97951483291012
97.5th percentile,142.461697862274,110.739893591416,117.584768080894,129.005921771902,130.457252237567,93.2968691730694
% consuming more than 90g/day,11.2751167847502,10.7066102075005,10.4168242156362,10.209642948515,12.3381052056193,3.45381268190888
